НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Замандас-қ,87014871705,"Талгар, ул. Абая, 83",zamandas@list.ru,Гулбарам Куанышалиева ,Алматинская область,Талгарский район,Газета,"ОФ ""Замандас""",zamandas@list.ru,
Іле өңірі - Или вадиси,"872778 21146, 872778 22433","с.Шонжы, ул. Назугум,23 А",ilivadisi@mail.ru,Аблизов Абдуманап,Алматинская область,Уйгурский район,Газета,"ТОО ""Іле өңірі - Или вадиси"", Аблизов Абдуманап",ilivadisi@mail.ru,
Каскелен Пресс,8705 308 07 67 ,"с. Райымбек, ул.Наурыз, 1А","novoekz@gmail.com, aigera.bolat@gmail.com, http://www.matritca.kz/",Айгерим Болат,Алматинская область,Карасайский район,Газета,"ИП ""МАТРИЦА.KZ"", Айгерим Болат",novoekz@gmail.com aigera.bolat@gmail.com,http://www.matritca.kz/
Kaskelen.kz,"8777 020 8848, 8775 990 65 00","Каскелен, ул. Абылайхана, 42/1","info.kaskelen@gmail.com, https://kaskelen.kz/",Орынбасар Сатаев,Алматинская область,Карасайский район,Газета,"ТОО ""АЛОМОС""",info.kaskelen@gmail.com,https://kaskelen.kz/
Желтая газета,87013850701,"ул. Кабанбай батыра,32 оф 5-6",zheltaya.gazeta@gmail.com,Сандугаш Дуйсенова,Алматинская область,Талдыкорган+D33:J33,Газета,"ТОО ""Желтая газета"", Сандугаш Дуйсенова",zheltaya.gazeta@gmail.com,
Үйгентас өңірі,"87283741200, 87283741201","с. Кабанбай, ул. Аблайхана, д.221","akwolakov.2011@mail.ru, https://www.instagram.com/uigentas_media/",Ерболат Акшолаков,Алматинская область,Алакольский район,Газета,"ТОО ""Жас Қалам-Media"", Ерболат Акшолаков",akwolakov.2011@mail.ru,https://www.instagram.com/uigentas_media/
Алакөл,"872833 35263,  872833 35268,87283335174","Ушарал, ул. Женыс,129","alakred@mail.ru, http://alakol-aynasy.kz/qaz/",Азат Жақыпбек,Алматинская область,Алакольский район,Газета,"ТОО ""Алакөл айнасы"", Азат Жақыпбек",alakred@mail.ru,http://alakol-aynasy.kz/qaz/
Райымбек,"87277755026, 87753729645, 8 705 221 09 79,
87025443294 ","с. Кегенул, ул. Мусаралиева, 10 , кв.3 ",Raimbek.ordabeknur@mail.ru,Сырым Тұрсынов,Алматинская область,Райымбекский район,Газета,"ТОО  ""Орда-Бек-Нұр "", Сырым Тұрсынов",Raimbek.ordabeknur@mail.ru,
Заман жаршысы,"8727 3001441,
8727 71 22143","Каскелен, ул. Умралиева, 53","zgazeta@mail.ru, http://karasayinfo.kz/",Атлана Исаева,Алматинская область,Карасайский район,Газета,"ТОО ""Газета ""Заман жаршысы""",zgazeta@mail.ru,http://karasayinfo.kz/
Қарқара,"872777 21383, 872777 21457","с. Кеген, ул.Д.Конаева,137","qarqara.gazeti2018@mail.ru, https://qarqaragazeti.kz/",Нурболат Тастанкулов ,Алматинская область,Кегенский район,Газета,"ТОО ""Қарқара газеті""",qarqara.gazeti2018@mail.ru,https://qarqaragazeti.kz/
Бастау,"87282 21071, 87282 21788","Уштобе, ул. Абылайхана, 17",bastau61@mail.ru,Саркыт Даркенбаева ,Алматинская область,Каратальский район,Газета,"ТОО ""Алатау"" Баспа Полиграфиясы""",bastau61@mail.ru,
Ауыл-инфо,87283220022,"с. Жансугуров, ул.Сатпаева, д.88","kunya_91.06@mail.ru, https://vk.com/auyl_info",Куаныш Чоканов,Алматинская область,Аксуский район,Газета,"ТОО ""Тридцать третий"", Куаныш Чоканов",kunya_91.06@mail.ru,https://vk.com/auyl_info
Рухани жаңғыру,"87272956687, 87000001185, 87005887858","Талгар, ул.Рыскулова, д.73",,Кабасов Бахтияр,Алматинская область,Талгарский район,Журнал,"ИП ""Asau media"", Қабас Қазбек",,
Кәсіпкер,87282411082,"ул. Балапанова, д.28",,Жаменке Жанкумыс,Алматинская область,Талдыкорган,Журнал,"ИП ""Сулейменова Г.М."", Гульжиян Сулейменова",,
Jetysunews.kz,"87282234541, 8707 463 89 19","ул. Пушкина, 239 А кв 50","jetisunews@yandex.ru, https://7sunews.kz/",Сабыр Макажанов,Алматинская область,Талдыкорган,ИА,"ИП ""Jetysunews"", Қалманбет Мұқаметқали",jetisunews@yandex.ru,https://7sunews.kz/
www.matrica.kz,87053080767,"с. Райымбек, ул.Наурыз,1А","novoekz@gmail.com, aigera.bolat@gmail.com, http://www.matritca.kz/",Айгерим Болат,Алматинская область,Карасайский район,ИА,"ИП ""МАТРИЦА.KZ"", Айгерим Болат",novoekz@gmail.com aigera.bolat@gmail.com,http://www.matritca.kz/
Ностальжи,,"ул. Избасарова, д.88","jenya_pr@mail.ru , nostalgiefm@mail.ru",Евгений Прищенко,Алматинская область,Талдыкорган,Радио,"ТОО ""Линас интермедиа"", Татьяна Толмачева ",jenya_pr@mail.ru  nostalgiefm@mail.ru,
ЮТ,,"Иссык, ул. Токатаева, д. 290","ut.tv@rambler.ru , https:vk.comradio_ut_103_2_fm",,Алматинская область,Енбекшиказахский район,Радио,"ТОО ""ЮТ"", Нина Сусол ",ut.tv@rambler.ru,https:vk.comradio_ut_103_2_fm
Жетысу,"87282400029, 87282 40 00 32","ул. Балапанова, 28."," jetisu-tv@mail.ru , https://zhetysutv.kz/",Құранбек Бейсен,Алматинская область,Талдыкорган,Радио,"ТОО ""Телеканал ""Жетысу"", акимат Алматинской области",jetisu-tv@mail.ru,https://zhetysutv.kz/
ileinfo.kz,"872752 39024, 87272517336","п. Отеген батыр, мкр. Куат, ул. Самен батыра,33","ile-tany@mail.ru, https://ileinfo.kz/",Роза Айдарбекова ,Алматинская область,Илийский район,Сетевое издание,"ТОО ""Іле таңы"", Роза Айдарбекова ",ile-tany@mail.ru,https://ileinfo.kz/
Jete.kz,"87282411046, 87014442621","мкр.Молодежный, д.3, кв.1","Pmgazet@mail.ru, http://jete.kz/",Амире Аринов,Алматинская область,Талдыкорган,Сетевое издание,"ТОО ""Компания Жете""",Pmgazet@mail.ru,http://jete.kz/
mezet.kz,"87277 540900, 8772 247393","Иссык, улица Алматинская,112","enkaz.kz@gmail.com, https://mezet.kz/",Хайрулла Ахметжанов,Алматинская область,Иссыкский район,Сетевое издание,"ТОО ""Редакция газеты ""Еңбекшіқазақ""",enkaz.kz@gmail.com,https://mezet.kz/
Taldykorgan-online.kz,"87282 401025,87282 401139",ул. Балапанова 28,"taldyk@bk.ru, https://taldykorgan-online.kz/",Данияр Сейсенбаев,Алматинская область,Талдыкорган,Сетевое издание,"ТОО ""Талдықорған ақпарат"", Данияр Сейсенбаев",taldyk@bk.ru,https://taldykorgan-online.kz/
Tekelinews.kz,87283542094,"Текели, ул. Абылай хана, дом 22, кв.8,9",http://tekelitynysy.kz/,Торғын Тұрлыбаева ,Алматинская область,Текели,Сетевое издание,"ТОО ""Текелі тынысы"", Торғын Тұрлыбаева ",,http://tekelitynysy.kz/
TINFO,"87780000877, 87705 333 5 999","ул. Конаева, 47","info@taldyk.info ,http:www.taldyk.info",Диас Бейсенбек,Алматинская область,Талдыкорган,Сетевое издание,"ИП ""ALEMMEDIA"",Талгат Аблаев",info@taldyk.info,http:www.taldyk.info
UZYN.KZ,8708 908 48 08,"с. Каргалы, ул.Бекетайулы, 15 «Г»","info@uzyn.kz, https://uzyn.kz/",Абсеметова А.М,Алматинская область,Жамбылский район,Сетевое издание,Абсеметова А.М,info@uzyn.kz,https://uzyn.kz/
"www.ognialatau.kz (""Огни Алатау"")","87282402043, 87282402045",ул.Балапанова 28,"ogni_alatautald@mail.ru , http://ognialatau.kz/",Атсалим Идигов ,Алматинская область,Талдыкорган,Сетевое издание,"ТОО ""Өлке тынысы"", Мейрам Жанадилов ",ogni_alatautald@mail.ru,http://ognialatau.kz/
Қожалар-Тарих.Таным.Тағлым,"87027459362, 8705293738","Талгар, улица Абая, 46","Uaisova.A@mail.ru, https://kozhalar.kz/",Айгуль Уайсова ,Алматинская область,Талгарский район,Сетевое издание,Уайсова Айгул Мухамедияровна,Uaisova.A@mail.ru,https://kozhalar.kz/
Karasayinfo.kz,"8727 3001441,
8727 71 22143","Каскелен, ул. Умралиева, 53","zgazeta@mail.ru, http://karasayinfo.kz/",Атлана Исаева,Алматинская область,Карасайский район,Сетевое издание,"ТОО ""Газета ""Заман жаршысы""",zgazeta@mail.ru,http://karasayinfo.kz/
7-su.kz,"87282 402064, 87282 41 10 46",ул. Ж.Балапанова 28,"Jetisu2002@mail.ru,http://7-su.kz/",Әміре Әрін,Алматинская область,Талдыкорган,Сетевое издание,"ТОО ""Өлке тынысы"", Мейрам Жанадилов ",Jetisu2002@mail.ru,http://7-su.kz/
Талды-Париж,87714130314,"с.Отенай, ул.Пушкина д.79",https://vk.com/taldyparis,Альбина Бакмуратова,Алматинская область,Талдыкорган,Сетевое издание,"ИП Бакмуратова, Альбина Бакмуратова",,https://vk.com/taldyparis
taldyq–info.kz,"8 701 785 99 94,87282 241573","ул. Кабанбай-батыра, 58"," taldyq-info@mail.kz, http://taldyq-info.kz/",Баян Таңатарова ,,Талдыкорган,Сетевое издание,"ТОО ""Нур-Шапагат"", Саржан Ержұманов ",taldyq-info@mail.kz,http://taldyq-info.kz/
Жетісу,"87282400029, 87282 40 00 32","ул. Балапанова, 28."," jetisu-tv@mail.ru , https://zhetysutv.kz/",Думан Алтынбекулы,Алматинская область,Талдыкорган,ТВ,"ТОО ""Телеканал ""Жетысу"", Бейсен Құранбек",jetisu-tv@mail.ru,https://zhetysutv.kz/
Алматы ақшамы,8 727 2926650,"ул. Шевченко, 106 А.",almaty-aksham@mail.ru,Сәрсенбай Қ.Қ,Алматы,Алматы,Газета,"ТОО ""Газета ""Алматы ақшамы"",Сәрсенбай Қали",almaty-aksham@mail.ru,
Давар,"8 727 273 54 49, 8 727 273 04 11","ул. Макатаева,88,кв.35","davar@mitsva.kz , www.mitsva.kz",Исак Дворкин,Алматы,Алматы,Газета,"Ассоциация еврейских национальных организаций РК ""Мицва""",davar@mitsva.kz,http://www.mitsva.kz/index.shtml
Деловая неделя,"8 727 250 62 72, 8 7272737607, 8 7272739148","пр. Жибек жолы, 64 2-й этаж","5dninfo@mail.ru, info@dn.kz, www.dn.kz",Ауезов Махамбет,Алматы,Алматы,Газета,"ТОО ""Газета ""Деловая неделя"", Талгат Оспанов",5dninfo@mail.ru info@dn.kz,http://www.dn.kz/
